Nom_Districte,Codi_Barri,Nom_Barri,percentatge
Sant Martí,71,Provençals del Poblenou,102.3
Sant Martí,66,el Parc i la Llacuna del Poblenou,100.4
Eixample,10,Sant Antoni,104.2
Eixample,9,la Nova Esquerra de l'Eixample,110.2
Eixample,8,l'Antiga Esquerra de l'Eixample,137.2
Eixample,6,la Sagrada Família,101.8
Eixample,5,el Fort Pienc,106.5
Ciutat Vella,2,el Barri Gòtic,106.1
Les Corts,19,les Corts,120.0
Gràcia,32,el Camp d'en Grassot i Gràcia Nova,105.7
Gràcia,31,la Vila de Gràcia,104.4
Gràcia,30,la Salut,109.9
Gràcia,28,Vallcarca i els Penitents,112.5
Les Corts,20,la Maternitat i Sant Ramon,114.2
